horizon,observation_lstm,action_lstm,rssm,rssm_vs_action_lstm_improvement,rssm_vs_observation_lstm_improvement
1,0.531364984278168,0.5312378204294613,0.5340622583670276,-0.5316710951194962,-0.5076123133186253
3,0.5988369006831367,0.6101691607419435,0.6052549901577804,0.8053783934585698,-1.0717591830633932
5,0.6497552305051725,0.664610208713845,0.6578065015409635,1.02371391285849,-1.239123697323891
10,0.7332719357360696,0.752412780069969,0.7447604136847554,1.0170436478367617,-1.566741803251134
