model,accuracy,precision,recall
Observation LSTM,0.5775,0.9233486400565172,0.48060305203162346
Action LSTM,0.6352777777777778,0.9066204105232726,0.5765765765765766
Observation GRU,0.6272222222222222,0.9113168109883547,0.5611325611325612
Action GRU,0.6151388888888889,0.9097051597051597,0.5445854017282589
