model,s1,s2,s3a,s3b,s4
Observation LSTM,0.8111578226089478,0.8554219603538513,0.6965087056159973,0.6124386787414551,0.8332023024559021
Action LSTM,0.804316520690918,0.8472357392311096,0.6832635402679443,0.5958124995231628,0.8211526274681091
Observation GRU,0.803630530834198,0.84904944896698,0.6930425763130188,0.6071295738220215,0.8238645195960999
Action GRU,0.8042158484458923,0.8501306772232056,0.6868204474449158,0.5981014966964722,0.8223916292190552
